ลำดับ,ชื่อเมนูอาหาร,สถานะการซ้ำ,จำนวนแพ็กเกจที่พบ,ราคาแพ็กเกจที่พบ,ลำดับจานที่พบ,แท็กพิเศษ,สถานะรูปภาพ,ลิงก์รูป
92,"ยำทะเล","ซ้ำกัน (2 ราคา)",2,"1,400.-, 1,800.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง) | จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/salads/salad-seafood-mixed-red-platter.jpg"
93,"ลิ้นจี่ลอยแก้ว","ซ้ำกัน (2 ราคา)",2,"1,400.-, 2,300.-","จานที่ 8: ของหวาน (เลือก 1 อย่าง) | จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
94,"สลัดกุ้งทอดกระทงเผือก","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 6 (เลือก 1 อย่าง) | จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
95,"หน่อไม้ทะเลเจี๋ยนคะน้าฮ่องกง","ซ้ำกัน (2 ราคา)",2,"5,000.-, 6,000.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
96,"หมูมะนาว","ซ้ำกัน (2 ราคา)",2,"1,800.-, 2,200.-","จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง) | จานที่ 6 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/salads/moo-manao-banquet-2026.jpg"
97,"หมูหันฮ่องกง","ซ้ำกัน (2 ราคา)",2,"5,000.-, 6,000.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
98,"หัวปลาเผือกหม้อไฟ","ซ้ำกัน (2 ราคา)",2,"3,000.-, 3,500.-","จานที่ 9 (เลือก 1 อย่าง) | จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
99,"ออเดิร์ฟ 5 อย่าง (ขนมจีบ, ไข่เยี่ยวม้า, ไส้กรอก, แฮม, หมูแผ่น)","ซ้ำกัน (2 ราคา)",2,"1,800.-, 2,200.-","จานที่ 2: ออเดิร์ฟ (เลือก 1 อย่าง)","5 อย่างมาตรฐาน","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
100,"ออเดิร์ฟทะเลนึ่งเตาซึ้ง (ก้ามปู, ปูอัด, ลูกชิ้นปลา, เต้าหู้ปลา, กุ้งลวก)","ซ้ำกัน (2 ราคา)",2,"1,800.-, 2,200.-","จานที่ 2: ออเดิร์ฟ (เลือก 1 อย่าง)","ซีฟู้ดนึ่ง","มีรูปภาพ","/images/dishes/appetizers/appetizer-seafood-steamer.jpg"
101,"ออเดิร์ฟฮ่องกง (ติ่มซำ) / ออเดิร์ฟ 5 อย่าง","ซ้ำกัน (2 ราคา)",2,"5,000.-, 6,000.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","ฮ่องกงติ่มซำ","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
102,"กระดูกหมูตุ๋นยาจีนเยื่อไผ่","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 8 (เลือก 1 อย่าง)","ซุปร้อนๆ","ไม่มีรูป",""
103,"กระเพาะปลาน้ำแดงเนื้อปู","มีใน 1 ราคาเท่านั้น",1,"1,800.-","จานที่ 3","เนื้อปูเน้นๆ","มีรูปภาพ","/images/dishes/soups/soup-fishmaw-spoon-lift.jpg"
104,"กระเพาะปลาผัดแห้ง","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 3 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
105,"กระเพาะปลาเยื่อไผ่ปู / หูฉลาม","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 3","ซุปเข้มข้น","ไม่มีรูป",""
106,"กระเพาะหมูผัดเกี้ยมฉ่าย","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 5: เป็ดสับย่าง / ขาหมู (เลือก 1 อย่าง)","-","ไม่มีรูป",""
107,"กะเพาะปลา เนื้อปู","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 3","สูตรภัตตาคาร 35 ปี","ไม่มีรูป",""
108,"กุ้งแชบ๊วยซอส XO","มีใน 1 ราคาเท่านั้น",1,"6,000.-","จานที่ 5 (เลือก 1 อย่าง)","ซอส XO ฮ่องกง","ไม่มีรูป",""
109,"กุ้งแชบ๊วยสามรส","มีใน 1 ราคาเท่านั้น",1,"4,000.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
110,"กุ้งนึ่งกระเทียมโทน","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
111,"กุ้งอบเกลือ","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
112,"แกงจืดหม้อไฟเครื่องในลูกชิ้น","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
113,"แกงส้มกุ้งชะอมไข่","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
114,"แกงส้มชะอมไข่ทอดใส่กุ้ง","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 7: ต้ม / แกง (เลือก 1 อย่าง)","-","ไม่มีรูป",""
115,"ไก่แช่เหล้า","มีใน 1 ราคาเท่านั้น",1,"4,000.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
116,"ไก่ดำตุ๋นยาจีน","มีใน 1 ราคาเท่านั้น",1,"6,000.-","จานที่ 9 (เลือก 1 อย่าง)","ไก่ดำบำรุงสุขภาพ","ไม่มีรูป",""
117,"ไก่ต้มน้ำปลา","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
118,"ไก่ตอน (ไก่สวรรค์)","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
119,"ไก่ตุ๋นเห็ดหอมยาจีน","มีใน 1 ราคาเท่านั้น",1,"1,400.-","จานที่ 6: ต้ม / แกง (เลือก 1 อย่าง)","-","ไม่มีรูป",""
120,"ไก่ยัดไส้เกาลัดทรงเครื่อง","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
121,"ไก่ยัดไส้หน่อไม้จีน","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
122,"ขนมจีบ, ไข่เยี่ยวม้า, ไส้กรอก, แฮม, หมูแผ่น, สลัดกุ้งทอด, สลัดปลาทิพย์","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","ครบเครื่อง 5 อย่าง","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
123,"ข้าวเกรียบ - ถั่วโก๋แก่","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
124,"ข้าวเกรียบ - ถั่วทอด","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
125,"ข้าวเกรียบ - เม็ดมะม่วง","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
126,"ข้าวผัดทรงเครื่อง","มีใน 1 ราคาเท่านั้น",1,"1,400.-","จานที่ 7: ข้าวผัด / หมี่ (เลือก 1 อย่าง)","หอมกระทะ","ไม่มีรูป",""
127,"ข้าวผัดทะเล","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 8 (เลือก 1 อย่าง)","ทะเลเน้นๆ","ไม่มีรูป",""
128,"ข้าวผัดปูโรยหมูหยอง","มีใน 1 ราคาเท่านั้น",1,"1,400.-","จานที่ 7: ข้าวผัด / หมี่ (เลือก 1 อย่าง)","-","ไม่มีรูป",""
129,"ข้าวผัดปูใส่ไส้กรอก","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 8: ข้าวผัด / หมี่ (เลือก 1 อย่าง)","ยอดฮิต","ไม่มีรูป",""
130,"ข้าวผัดหนำเลี้ยบ","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
131,"ข้าวผัดหมู","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 8: ข้าวผัด / หมี่ (เลือก 1 อย่าง)","-","ไม่มีรูป",""
132,"ข้าวห่อใบบัวทรงเครื่อง","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 8 (เลือก 1 อย่าง)","หอมกรุ่น","ไม่มีรูป",""
133,"ขาหมูต้มยำ","มีใน 1 ราคาเท่านั้น",1,"1,800.-","จานที่ 8 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/hotpots/hotpot-tomyum-pork-knuckle.jpg"
134,"ขาหมูตุ๋นยาจีนทอด-ผักดอง","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 7 (เลือก 1 อย่าง)","สูตรยาจีน","ไม่มีรูป",""
135,"ขาหมูทอดกรอบ","มีใน 1 ราคาเท่านั้น",1,"2,200.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
136,"ขาหมูหมั่นโถ","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 5: เป็ดสับย่าง / ขาหมู (เลือก 1 อย่าง)","-","ไม่มีรูป",""
137,"ซี่โครงหมูตุ๋นยาจีนเยื่อไผ่","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 7 (เลือก 1 อย่าง)","ตุ๋นยาจีน","ไม่มีรูป",""
138,"ต้มโคล้งปลากรอบใบมะขามอ่อน","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
139,"ต้มยำปลาดอลลี่","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 7: ต้ม / แกง (เลือก 1 อย่าง)","-","ไม่มีรูป",""
140,"ต้มยำโป๊ะแตก","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
141,"ต้มยำรวมมิตรทะเลโป๊ะแตก","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
142,"ถั่วอบเนย","มีใน 1 ราคาเท่านั้น",1,"2,200.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
143,"ทะเลผัดผงกะหรี่","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
144,"ทะเลผัดพริกไทยดำ","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
145,"น่องไก่ตุ๋นมะนาวดอง","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 8 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
146,"ปลากระบอกนึ่งซีอิ๊ว","มีใน 1 ราคาเท่านั้น",1,"3,000.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
147,"ปลากะพงทอดราดน้ำปลา/ยำ","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
148,"ปลากะพงทอดสามรส","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
149,"ปลากะพงราดน้ำยำมะม่วง","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
150,"ปลากะพงราดพริก","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
151,"ปลาช่อน","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
152,"ปลาแซลมอนทอดน้ำปลา","มีใน 1 ราคาเท่านั้น",1,"4,000.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
153,"ปลาทับทิม 3 รส","มีใน 1 ราคาเท่านั้น",1,"1,400.-","จานที่ 5: เมนูปลา (เลือก 1 อย่าง)","-","ไม่มีรูป",""
154,"ปลาทับทิมทอดน้ำยำมะม่วง","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 6: เมนูปลา (เลือก 1 อย่าง)","รสจัดจ้าน","ไม่มีรูป",""
155,"ปลาหมึกไข่นึ่งมะนาว","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
156,"ปีกไก่ตุ๋นยาจีน","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 7 (เลือก 1 อย่าง)","บำรุงสุขภาพ","ไม่มีรูป",""
157,"ปีกไก่ทอด","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
158,"ปูผัดผงกะหรี่","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
159,"เป็ดตุ๋น","มีใน 1 ราคาเท่านั้น",1,"2,200.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
160,"เป็ดตุ๋นมะนาวดอง","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
161,"เป็ดพะโล้","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
162,"เป็ดยัดไส้","มีใน 1 ราคาเท่านั้น",1,"1,800.-","จานที่ 4 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/ducks/duck-stuffed-bamboo-shoots.jpg"
163,"เป็ดยัดไส้หน่อไม้จีน","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 4 (เลือก 1 อย่าง)","สูตรโบราณ","ไม่มีรูป",""
164,"เป็ดย่างน้ำแดง","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 5: เป็ดสับย่าง / เป๋าฮื้อ (เลือก 1 อย่าง)","-","ไม่มีรูป",""
165,"เป็ดสับใส่น้ำผัก","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 4 (เลือก 1 อย่าง)","สูตรภัตตาคาร","ไม่มีรูป",""
166,"เป็ดอบน้ำผึ้ง","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 4 (เลือก 1 อย่าง)","สูตรฮ่องกง","ไม่มีรูป",""
167,"เป๋าฮื้อ","มีใน 1 ราคาเท่านั้น",1,"4,000.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
168,"ผลไม้รวม","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
169,"ผัดโหงวก๊วยรังนก","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 5: เป็ดสับย่าง / ขาหมู (เลือก 1 อย่าง)","-","ไม่มีรูป",""
170,"เผือกหิมะแปะก๊วยทอด","มีใน 1 ราคาเท่านั้น",1,"6,000.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
171,"ฟรุตสลัด","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง)","สดชื่น","ไม่มีรูป",""
172,"ฟรุตสลัดผลไม้","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง)","สดชื่น","ไม่มีรูป",""
173,"เฟรนช์ฟรายส์","มีใน 1 ราคาเท่านั้น",1,"3,500.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
174,"มะพร้าวอ่อนตุ๋นแปะก๊วย","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
175,"เม็ดมะม่วง","มีใน 1 ราคาเท่านั้น",1,"3,000.-","จานที่ 1","ของทานเล่น","ไม่มีรูป",""
176,"เมี่ยงปลาช่อน","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 5 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
177,"ยำรวมมิตร","มีใน 1 ราคาเท่านั้น",1,"1,800.-","จานที่ 5: เป็ดสับย่าง / เมนูยำ (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/salads/salad-seafood-mixed-red-platter.jpg"
178,"ยำรวมมิตรทะเล","มีใน 1 ราคาเท่านั้น",1,"2,200.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
179,"ยำหมูย่าง","มีใน 1 ราคาเท่านั้น",1,"1,400.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง)","-","ไม่มีรูป",""
180,"เย็นตาโฟหม้อไฟ","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 9 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
181,"รวมมิตรหวานเย็น","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
182,"รวมมิตรหวานเย็นมะพร้าวอ่อน","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 10: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
183,"วุ้นมะพร้าวอ่อน","มีใน 1 ราคาเท่านั้น",1,"1,500.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง)","หวานเย็นชื่นใจ","ไม่มีรูป",""
184,"สลัดปลาทิพย์","มีใน 1 ราคาเท่านั้น",1,"1,400.-","จานที่ 4: ยำ / สลัด (เลือก 1 อย่าง)","-","ไม่มีรูป",""
185,"สลัดผัก-ผลไม้","มีใน 1 ราคาเท่านั้น",1,"2,200.-","จานที่ 5: เป็ดสับย่าง / ผักเจียน้ำแดง (เลือก 1 อย่าง)","-","ไม่มีรูป",""
186,"สามเซียนตุ๋น","มีใน 1 ราคาเท่านั้น",1,"1,800.-","จานที่ 8 (เลือก 1 อย่าง)","-","มีรูปภาพ","/images/dishes/soups/soup-chicken-chinese-herb.jpg"
187,"สามเซียนตุ๋นมะนาวดอง (เป็ด, ไก่, หมู)","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 7 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
188,"สามเซียนผัดเห็ดเป๋าฮื้อ","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
189,"สามเซียนผัดเห็ดเป๋าฮื้อน้ำแดง","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 4 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
190,"สี่สีทอด","มีใน 1 ราคาเท่านั้น",1,"1,800.-","จานที่ 4 (เลือก 1 อย่าง)","ของทอดกรอบ","มีรูปภาพ","/images/dishes/appetizers/see-see-sai-mungkorn-2026.jpg"
191,"สี่สีไส้มังกร","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
192,"สี่สีไส้มังกร (แนะนำ)","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 6 (เลือก 1 อย่าง)","⭐ ซิกเนเจอร์","ไม่มีรูป",""
193,"สี่สีไส้มังกร - หอยจ๊อปู","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง)","⭐ ยอดฮิต","ไม่มีรูป",""
194,"สี่สีหม้อไฟ","มีใน 1 ราคาเท่านั้น",1,"2,500.-","จานที่ 9 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
195,"หมูกรอบเหล้าแดง","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 5: เป็ดสับย่าง / ของทอดมงคล (เลือก 1 อย่าง)","-","ไม่มีรูป",""
196,"หอยจ๊อทอด","มีใน 1 ราคาเท่านั้น",1,"2,200.-","จานที่ 5: เป็ดสับย่าง / ผักเจียน้ำแดง (เลือก 1 อย่าง)","-","ไม่มีรูป",""
197,"หอยจ๊อปูทอด","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 6 (เลือก 1 อย่าง)","-","ไม่มีรูป",""
198,"หูฉลามน้ำแดง","มีใน 1 ราคาเท่านั้น",1,"2,200.-","จานที่ 3","⭐ หูฉลามแท้","ไม่มีรูป",""
199,"หูฉลามเนื้อปูผัดซอสน้ำแดง","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 3","⭐ หูฉลามเนื้อปู","ไม่มีรูป",""
200,"ออเดิร์ฟ 5 อย่าง","มีใน 1 ราคาเท่านั้น",1,"3,500.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","5 อย่าง VIP","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
201,"ออเดิร์ฟ (กระเพาะปลาผัดแห้ง, สี่สีไส้มังกร, หอยจ๊อปูทอด, ขนมจีบ, เป๋าฮื้อทรงเครื่อง, ออเดิร์ฟทะเล)","มีใน 1 ราคาเท่านั้น",1,"2,300.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","5 อย่างพรีเมียม","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
202,"ออเดิร์ฟทะเล / ติ่มซำ / ออเดิร์ฟ 5 อย่าง","มีใน 1 ราคาเท่านั้น",1,"4,000.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","5 อย่าง VIP","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
203,"ออเดิร์ฟ (ไส้กรอกรมควัน, ไข่เยี่ยวม้า, ปลาทิพย์, หมูแผ่น, เกี๊ยวซ่าสลัด)","มีใน 1 ราคาเท่านั้น",1,"2,000.-","จานที่ 2: ออเดิร์ฟ 5 อย่าง","5 อย่างพรีเมียม","มีรูปภาพ","/images/dishes/appetizers/appetizer-5-platter-banquet-tower.jpg"
204,"โอนีแปะก๊วยกะทิสด","มีใน 1 ราคาเท่านั้น",1,"1,700.-","จานที่ 9: ของหวาน (เลือก 1 อย่าง)","-","ไม่มีรูป",""
